CBSA,NAME,LON,LAT,POP,ALAND,AWATER,IS_MSA,CSA,ISCUS
33860,"Montgomery, AL",-86.280735716103,32.413346836633885,386047,2714.406,71.98700000000001,true,388,true
19300,"Daphne-Fairhope-Foley, AL",-87.761478,30.537395999999998,231767,1589.836,437.437,true,380,true
21640,"Eufaula, AL-GA",-85.2831416507252,31.845249328720225,27458,1036.2450000000001,28.835,false,,true
13820,"Birmingham, AL",-86.77897100080295,33.49140926425022,1180631,5279.768999999999,90.005,true,142,true
11500,"Anniston-Oxford, AL",-85.81797399999999,33.727215,116441,605.889,6.385,true,,true
29300,"LaGrange, GA-AL",-85.10655255561028,32.977494083418115,104198,1010.57,38.506,false,122,true
21460,"Enterprise, AL",-85.89955600000002,31.353217,53465,678.986,1.509,false,222,true
22520,"Florence-Muscle Shoals, AL",-87.6366047369699,34.81194259265473,150791,1260.967,82.15,true,250,true
45180,"Talladega-Sylacauga, AL",-86.16478682939044,33.33203088065186,92536,1387.726,38.945,false,142,true
18980,"Cullman, AL",-86.83269000000001,34.162652,87866,734.738,20.283,false,142,true
37120,"Ozark, AL",-85.63771,31.383858,49326,561.113,1.564,false,222,true
42820,"Selma, AL",-87.035342,32.411818,38462,978.738,15.106,false,388,true
22840,"Fort Payne, AL",-85.817465,34.452725,71608,777.077,1.586,false,290,true
23460,"Gadsden, AL",-86.025892,34.012182,103436,535.105,13.522,true,,true
40770,"Russellville, AL",-87.793592,34.463509,32113,633.92,12.602,false,250,true
20020,"Dothan, AL",-85.45021792623642,31.215354103352823,151007,1716.074,12.864,true,222,true
46220,"Tuscaloosa, AL",-87.57577769343142,33.18507862029076,268674,3493.269,64.53399999999999,true,,true
42460,"Scottsboro, AL",-85.943552,34.727289,52579,1078.015,48.778,false,174,true
19460,"Decatur, AL",-87.00373256087363,34.51958803165616,156494,1270.3539999999998,45.899,true,290,true
12220,"Auburn-Opelika, AL",-85.39531556571858,32.57581551455053,193773,1216.208,12.850000000000001,true,194,true
26620,"Huntsville, AL",-86.67996226435092,34.755841280818665,491723,1361.5639999999999,58.337999999999994,true,290,true
10700,"Albertville, AL",-86.291329,34.311249,97612,565.845,57.334,false,290,true
33660,"Mobile, AL",-88.175178,30.684049,414809,1229.374,414.678,true,380,true
45980,"Troy, AL",-85.946994,31.786040999999997,33009,672.067,0.903,false,,true
17980,"Columbus, GA-AL",-84.92894897573406,32.492047924091544,328883,2786.061,31.816000000000003,true,194,true
10760,"Alexander City, AL",-85.86401599999999,32.851728,41311,716.528,49.726,false,194,true
11260,"Anchorage, AK",-149.69654466835718,61.30329804863328,398328,26413.767,798.434,true,,false
21820,"Fairbanks-College, AK",-147.62324899999996,64.831239,95655,7334.809,100.133,true,,false
27940,"Juneau, AK",-134.53302300000001,58.360173,32255,2704.031,550.671,false,,false
28540,"Ketchikan, AK",-131.678418,55.369105,13948,4856.927,1795.997,false,,false
43420,"Sierra Vista-Douglas, AZ",-110.072835,31.603486,125447,6209.75,6.82,true,,true
22380,"Flagstaff, AZ",-111.601825,35.476113,145101,18616.355,45.032,true,,true
37740,"Payson, AZ",-111.015003,33.844439,53272,4757.33,37.494,false,429,true
40940,"Safford, AZ",-109.808107,32.867145,38533,4621.877,18.331,false,,true
38060,"Phoenix-Mesa-Chandler, AZ",-112.00506620742998,33.45321602560056,4845832,14567.839,32.837,true,429,true
29420,"Lake Havasu City-Kingman, AZ",-114.262415,35.034511,213267,13332.118,128.727,true,,true
43320,"Show Low, AZ",-110.20515700000001,34.862151,106717,9949.491,9.315,false,,true
46060,"Tucson, AZ",-110.95803,32.216427,1043433,9188.69,1.974,true,536,true
35700,"Nogales, AZ",-110.945948,31.439234,47669,1236.242,1.185,false,536,true
39150,"Prescott Valley-Prescott, AZ",-112.27384099999999,34.628734,236209,8122.872,4.445,true,,true
