STFIP,COFIP,TRFIP,ST,LON,LAT,POP,ALAND,AWATER,ISCUS
1,1,20100,AL,-86.486599,32.476823,1775,3.794,0.011,true
1,1,20200,AL,-86.472591,32.471897,2055,1.282,0.002,true
1,1,20300,AL,-86.459254,32.474583,3216,2.065,0.003,true
1,1,20400,AL,-86.442995,32.468656,4246,2.465,0.003,true
1,1,20501,AL,-86.424422,32.451532,4322,2.395,0.0,true
1,1,20502,AL,-86.417735,32.46832,3284,0.81,0.0,true
1,1,20503,AL,-86.424981,32.475466,3616,1.2,0.017,true
1,1,20600,AL,-86.47658,32.443324,3729,3.105,0.023,true
1,1,20700,AL,-86.44874,32.44379,3409,8.653,0.298,true
1,1,20801,AL,-86.523766,32.440768,3143,47.982,3.134,true
1,1,20803,AL,-86.529864,32.534208,4635,49.819,0.226,true
1,1,20804,AL,-86.44053,32.497484,6064,10.185,0.002,true
1,1,20805,AL,-86.431903,32.546522,3122,13.682,0.02,true
1,1,20901,AL,-86.457564,32.640237,3268,40.638,0.105,true
1,1,20902,AL,-86.548849,32.625009,3091,72.396,0.094,true
1,1,21000,AL,-86.726513,32.610239,2645,149.37,0.608,true
1,1,21100,AL,-86.693542,32.465983,3185,184.615,5.366,true
1,3,10100,AL,-87.759065,31.057695,3745,375.109,14.499,true
1,3,10200,AL,-87.686166,30.94559,3000,85.636,0.139,true
1,3,10300,AL,-87.845137,30.800981,8380,132.448,8.932,true
1,3,10400,AL,-87.698233,30.744995,5722,284.74,1.491,true
1,3,10500,AL,-87.777057,30.892709,4850,6.728,0.056,true
1,3,10600,AL,-87.773368,30.860098,3234,7.173,0.008,true
1,3,10704,AL,-87.882228,30.644465,5307,3.248,0.081,true
1,3,10706,AL,-87.87541,30.672697,4038,5.189,0.001,true
1,3,10707,AL,-87.906856,30.67862,4994,37.047,20.821,true
1,3,10708,AL,-87.830383,30.671727,11585,31.471,0.177,true
1,3,10709,AL,-87.849471,30.588997,11650,24.169,0.078,true
1,3,10710,AL,-87.887346,30.625941,6156,5.336,10.122,true
1,3,10711,AL,-87.899606,30.640865,4230,1.371,0.014,true
1,3,10800,AL,-87.898099,30.593989,7807,6.977,1.521,true
1,3,10903,AL,-87.760137,30.605414,6599,21.462,0.105,true
1,3,10904,AL,-87.609675,30.572148,7747,106.632,1.393,true
1,3,10906,AL,-87.694383,30.561887,4754,15.183,0.072,true
1,3,10907,AL,-87.773855,30.53498,4081,15.511,0.051,true
1,3,10908,AL,-87.723815,30.551152,5979,11.95,0.019,true
1,3,11000,AL,-87.700666,30.490891,5459,50.388,0.278,true
1,3,11102,AL,-87.85217,30.480777,5684,17.469,0.314,true
1,3,11103,AL,-87.846137,30.533253,3523,6.067,0.004,true
1,3,11104,AL,-87.859335,30.512797,7875,6.911,0.007,true
1,3,11201,AL,-87.8918,30.533686,4895,4.755,0.501,true
1,3,11202,AL,-87.903709,30.508967,6773,5.207,1.002,true
1,3,11300,AL,-87.877054,30.437858,5170,25.359,4.883,true
1,3,11409,AL,-87.764182,30.426338,5915,20.731,0.184,true
1,3,11410,AL,-87.750171,30.361123,7483,42.881,4.46,true
1,3,11411,AL,-87.669517,30.339748,5666,15.911,2.524,true
1,3,11412,AL,-87.705576,30.307223,4041,8.794,0.904,true
1,3,11413,AL,-87.667017,30.305997,3982,8.193,0.131,true
1,3,11414,AL,-87.551333,30.296329,3461,2.98,3.02,true
1,3,11415,AL,-87.52616,30.286753,2019,3.002,4.868,true
1,3,11416,AL,-87.719398,30.250488,1714,5.204,6.195,true
1,3,11417,AL,-87.609064,30.290278,2525,6.277,0.325,true
1,3,11418,AL,-87.659227,30.271364,1773,6.92,3.108,true
1,3,11419,AL,-87.750301,30.263252,5154,18.414,11.854,true
1,3,11501,AL,-87.689384,30.427005,7216,14.909,0.034,true
1,3,11503,AL,-87.691462,30.383201,7482,9.618,0.011,true
1,3,11504,AL,-87.652949,30.383979,6431,10.425,0.161,true
1,3,11601,AL,-87.578021,30.399547,7517,90.578,4.659,true
1,3,11603,AL,-87.450801,30.413113,3298,21.525,11.268,true
1,3,11604,AL,-87.476928,30.37445,2853,9.937,2.358,true
1,5,950100,AL,-85.16027,31.968728,3126,187.35,11.218,true
1,5,950200,AL,-85.470069,31.885436,3363,199.617,0.38,true
1,5,950300,AL,-85.558806,31.788329,1370,136.216,0.193,true
1,5,950400,AL,-85.589767,31.686535,3998,132.556,0.154,true
1,5,950500,AL,-85.224671,31.785904,3105,128.848,3.854,true
1,5,950600,AL,-85.198994,31.872722,1858,39.263,0.424,true
1,5,950700,AL,-85.16575,31.89202,1590,49.117,0.044,true
1,5,950800,AL,-85.1572,31.901612,2175,5.687,0.101,true
1,5,950900,AL,-85.154994,31.865875,4638,6.353,3.14,true
1,7,10001,AL,-87.178043,33.10189,2634,89.752,0.686,true
1,7,10005,AL,-87.141233,33.176119,4204,24.511,0.202,true
1,7,10006,AL,-87.072215,33.199275,1728,45.234,0.356,true
1,7,10007,AL,-86.994519,32.93511,2376,150.909,0.618,true
1,7,10008,AL,-87.025842,33.003356,2770,116.146,0.979,true
1,7,10009,AL,-87.172245,32.930368,2475,25.691,0.551,true
1,7,10010,AL,-87.167573,32.96053,2853,20.881,0.122,true
1,7,10011,AL,-87.276526,32.937085,3253,149.346,0.182,true
1,9,50103,AL,-86.5056,33.863527,1749,39.23,2.307,true
1,9,50104,AL,-86.530057,33.934066,2036,29.655,0.102,true
1,9,50105,AL,-86.442177,33.960047,5525,41.707,0.291,true
1,9,50106,AL,-86.471952,33.933402,3023,7.729,0.0,true
1,9,50107,AL,-86.407794,33.892986,2975,36.128,0.588,true
1,9,50200,AL,-86.550886,33.993409,3879,44.994,0.212,true
1,9,50301,AL,-86.399407,34.111944,2880,33.713,0.121,true
1,9,50302,AL,-86.396302,34.054827,2509,39.607,0.07,true
1,9,50400,AL,-86.495213,34.165802,4550,94.651,0.485,true
1,9,50501,AL,-86.593255,34.070239,4272,52.844,0.355,true
1,9,50502,AL,-86.674912,33.987527,3196,43.38,0.222,true
1,9,50601,AL,-86.891261,33.862954,4166,32.294,0.136,true
1,9,50603,AL,-86.761664,33.868688,4007,21.274,0.259,true
1,9,50604,AL,-86.792584,33.900454,5323,49.033,0.208,true
1,9,50701,AL,-86.623968,33.828822,5834,45.397,0.286,true
1,9,50702,AL,-86.668184,33.877116,3210,33.255,0.096,true
1,11,952100,AL,-85.530816,32.089813,1272,165.331,0.19,true
1,11,952201,AL,-85.73176,32.132548,2423,72.967,0.425,true
1,11,952202,AL,-85.682614,32.143909,4341,80.91,0.373,true
1,11,952500,AL,-85.802545,32.060157,2321,303.606,1.341,true
1,13,952700,AL,-86.608672,31.869161,2515,51.668,0.059,true
1,13,952800,AL,-86.630668,31.836641,1411,1.332,0.0,true
1,13,952900,AL,-86.657377,31.841929,1959,22.177,0.0,true
1,13,953000,AL,-86.782997,31.850743,1230,170.457,0.105,true
1,13,953100,AL,-86.629221,31.812388,2526,12.432,0.118,true
1,13,953200,AL,-86.552364,31.800553,3987,184.822,0.551,true
1,13,953300,AL,-86.72786,31.719773,1712,136.009,0.068,true
1,13,953400,AL,-86.763018,31.626278,2392,96.14,0.051,true
1,13,953500,AL,-86.677538,31.566751,1319,101.801,0.091,true
1,15,200,AL,-85.817464,33.667035,2929,2.629,0.0,true
1,15,300,AL,-85.832211,33.676734,2314,1.012,0.018,true
1,15,400,AL,-85.85573,33.676458,2423,3.906,0.004,true
1,15,500,AL,-85.844375,33.662836,1097,0.903,0.0,true
1,15,600,AL,-85.835928,33.640941,1780,2.655,0.0,true
1,15,700,AL,-85.813868,33.718951,2952,17.678,0.041,true
1,15,800,AL,-85.826505,33.652714,1752,1.408,0.0,true
1,15,900,AL,-85.803831,33.647016,3417,4.679,0.009,true
1,15,1000,AL,-85.785402,33.630973,5718,6.439,0.005,true
1,15,1101,AL,-85.763213,33.598223,1772,11.716,0.448,true
1,15,1102,AL,-85.813659,33.609906,1442,1.464,0.023,true
1,15,1103,AL,-85.811627,33.593736,3663,5.571,0.17,true
1,15,1201,AL,-85.845267,33.611041,3361,2.826,0.001,true
1,15,1202,AL,-85.884942,33.594609,4304,9.085,0.021,true
1,15,1300,AL,-85.872019,33.645008,2006,2.226,0.001,true
1,15,1400,AL,-85.895645,33.656323,3160,8.149,0.014,true
1,15,1501,AL,-85.942536,33.612487,3421,9.295,0.027,true
1,15,1502,AL,-85.975565,33.602061,1724,11.611,0.08,true
1,15,1600,AL,-85.848032,33.702271,3513,5.437,0.012,true
1,15,1700,AL,-85.841797,33.723275,6023,7.213,0.035,true
1,15,1801,AL,-85.783432,33.756862,2440,9.594,0.052,true
1,15,1802,AL,-85.823446,33.760203,4371,6.298,0.135,true
1,15,2001,AL,-85.687026,33.693266,2739,54.926,0.634,true
1,15,2002,AL,-85.71263,33.693848,4763,37.475,0.278,true
1,15,2101,AL,-85.770182,33.823801,5300,5.286,0.009,true
1,15,2102,AL,-85.750713,33.824267,3243,8.003,0.0,true
1,15,2104,AL,-85.771391,33.799451,3914,4.693,0.005,true
1,15,2105,AL,-85.750707,33.7977,2887,5.044,0.021,true
1,15,2200,AL,-85.608149,33.909114,3625,33.939,0.199,true
1,15,2300,AL,-85.632896,33.934573,3717,34.173,0.196,true
1,15,2400,AL,-85.786368,33.863293,4402,48.082,0.18,true
1,15,2502,AL,-85.888316,33.87853,4553,63.329,0.389,true
1,15,2503,AL,-85.870866,33.776604,3861,17.715,0.097,true
1,15,2504,AL,-85.921337,33.773853,3181,19.893,0.207,true
1,15,2600,AL,-86.030591,33.77916,4664,68.606,2.908,true
1,15,981901,AL,-85.934082,33.622144,8,24.373,0.053,true
1,15,981902,AL,-85.894673,33.685165,2,34.647,0.114,true
1,17,953800,AL,-85.366418,33.041598,3156,199.11,4.447,true
1,17,953900,AL,-85.206963,32.887744,3292,37.978,0.911,true
1,17,954001,AL,-85.506549,32.832869,2230,153.502,0.328,true
1,17,954002,AL,-85.403246,32.900445,3908,107.554,0.683,true
1,17,954200,AL,-85.247009,32.844593,3309,24.324,0.013,true
1,17,954300,AL,-85.218015,32.794168,5637,51.214,0.069,true
1,17,954600,AL,-85.175064,32.8359,3844,3.744,0.0,true
1,17,954700,AL,-85.173446,32.780565,4489,14.686,0.102,true
1,17,954800,AL,-85.20144,32.857044,4907,4.449,0.0,true
1,19,955701,AL,-85.560423,34.225894,3365,40.18,12.442,true
1,19,955702,AL,-85.57594,34.332253,3702,136.259,2.986,true
1,19,955801,AL,-85.793958,34.178686,2084,46.354,4.566,true
1,19,955802,AL,-85.734367,34.23196,3087,43.834,8.327,true
1,19,955900,AL,-85.668231,34.084392,4171,118.901,0.772,true
1,19,956000,AL,-85.661312,34.164151,4053,23.963,5.878,true
1,19,956101,AL,-85.470842,34.100566,1931,75.311,6.012,true
1,19,956102,AL,-85.547982,34.084261,2578,68.721,5.47,true
1,21,60101,AL,-86.630295,32.822332,5136,21.594,0.081,true
1,21,60103,AL,-86.659621,32.863908,3310,18.777,0.048,true
1,21,60104,AL,-86.634098,32.856005,3348,6.092,0.049,true
1,21,60200,AL,-86.564057,32.856879,2751,38.073,1.264,true
1,21,60300,AL,-86.618496,32.964391,3910,105.075,3.524,true
1,21,60401,AL,-86.723746,32.926965,5749,35.22,0.15,true
1,21,60403,AL,-86.762801,33.020729,3818,30.833,0.138,true
1,21,60404,AL,-86.817208,32.985872,5517,63.357,0.33,true
1,21,60500,AL,-86.873261,32.774456,2995,174.171,0.536,true
1,21,60600,AL,-86.736608,32.783454,3294,100.673,0.153,true
1,21,60701,AL,-86.600007,32.743114,2552,34.495,0.079,true
1,21,60702,AL,-86.509377,32.772565,2634,64.477,1.599,true
1,23,956700,AL,-88.227788,32.224601,2783,222.889,1.613,true
1,23,956800,AL,-88.21169,32.084819,4175,290.625,2.818,true
1,23,956900,AL,-88.321122,31.92009,3628,223.37,0.729,true
1,23,957000,AL,-88.308181,31.76667,2079,176.595,2.221,true
1,25,957500,AL,-87.718948,31.793579,1531,96.143,0.028,true
1,25,957601,AL,-87.885058,31.925585,934,189.052,0.034,true
1,25,957603,AL,-87.753164,31.90138,2111,24.523,0.046,true
1,25,957604,AL,-87.727875,31.907113,2688,50.124,0.019,true
1,25,957700,AL,-88.065072,31.805231,1087,142.919,2.941,true
1,25,957800,AL,-87.749235,31.666656,4865,321.513,1.892,true
1,25,957901,AL,-87.916749,31.578915,3274,145.139,1.253,true
1,25,957902,AL,-87.886611,31.521145,3794,41.637,0.967,true
1,25,958003,AL,-87.78238,31.488063,2803,227.371,6.972,true
1,27,958900,AL,-85.738236,33.350545,5629,198.088,0.735,true
1,27,959000,AL,-85.846028,33.284227,3205,69.367,0.436,true
1,27,959100,AL,-85.777447,33.201499,2940,147.886,0.3,true
1,27,959200,AL,-86.007613,33.174234,2462,188.621,0.568,true
1,29,959500,AL,-85.434419,33.783944,2547,189.761,0.178,true
1,29,959600,AL,-85.570783,33.65154,4206,94.23,0.353,true
1,29,959700,AL,-85.609574,33.558382,3523,161.688,0.243,true
1,29,959800,AL,-85.378485,33.566738,4780,114.427,0.133,true
1,31,10100,AL,-86.035534,31.556005,2143,94.272,0.042,true
1,31,10200,AL,-85.89195,31.55891,1853,80.432,0.069,true
1,31,10300,AL,-85.902335,31.39446,5151,112.913,0.036,true
1,31,10400,AL,-86.026036,31.391864,1914,80.728,0.195,true
1,31,10500,AL,-86.099202,31.423244,4412,77.516,0.409,true
1,31,10600,AL,-86.160775,31.261691,1522,49.435,0.234,true
1,31,10700,AL,-86.000695,31.267676,2200,82.458,0.312,true
1,31,10800,AL,-85.858698,31.244174,3196,52.917,0.144,true
1,31,10900,AL,-85.862151,31.299491,2159,7.823,0.0,true
1,31,11000,AL,-85.880803,31.319666,3748,11.074,0.009,true
1,31,11100,AL,-85.85179,31.326582,2077,1.284,0.0,true
1,31,11203,AL,-85.849906,31.35015,5259,5.039,0.0,true
1,31,11204,AL,-85.83068,31.357382,4116,10.692,0.058,true
1,31,11205,AL,-85.815513,31.33338,4206,2.117,0.0,true
1,31,11206,AL,-85.806252,31.32409,4877,2.698,0.0,true
1,31,11300,AL,-85.834941,31.30711,4632,7.587,0.0,true
1,33,20100,AL,-87.681423,34.767747,3599,1.81,0.233,true
1,33,20200,AL,-87.698811,34.765942,1883,0.867,0.248,true
1,33,20300,AL,-87.697629,34.751706,2273,1.994,0.022,true
1,33,20400,AL,-87.723943,34.738643,1504,2.056,0.378,true
1,33,20500,AL,-87.717271,34.727957,5150,9.117,0.236,true
1,33,20600,AL,-87.688222,34.727366,4769,3.807,0.009,true
1,33,20703,AL,-87.64388,34.746521,6796,3.143,0.0,true
1,33,20704,AL,-87.666717,34.746467,4727,2.806,0.003,true
1,33,20705,AL,-87.605675,34.782129,1388,13.123,2.559,true
1,33,20706,AL,-87.6305,34.710382,5857,30.609,0.069,true
1,33,20801,AL,-87.510347,34.77385,4182,45.931,8.031,true
1,33,20802,AL,-87.551359,34.647829,3422,83.113,0.406,true
1,33,20901,AL,-87.687281,34.619566,4287,51.367,0.201,true
1,33,20902,AL,-87.790652,34.678044,3712,100.066,2.916,true
1,33,21000,AL,-87.989787,34.743533,3678,243.145,15.254,true
1,35,960200,AL,-87.002893,31.565058,1472,217.81,0.235,true
1,35,960300,AL,-87.219167,31.37045,1579,151.168,0.3,true
1,35,960400,AL,-87.050091,31.344236,2936,185.439,1.154,true
1,35,960500,AL,-86.968898,31.447539,1591,35.102,0.129,true
1,35,960600,AL,-86.881366,31.420482,4019,260.76,0.663,true
1,37,961000,AL,-86.049166,33.010587,3697,97.066,0.615,true
1,37,961100,AL,-86.260272,33.053904,3625,302.927,9.139,true
1,37,961200,AL,-86.162308,32.845139,3065,250.916,5.687,true
1,39,961600,AL,-86.420788,31.414548,4467,138.953,4.146,true
1,39,961700,AL,-86.59991,31.376062,3749,194.56,1.544,true
1,39,961800,AL,-86.498106,31.286476,3114,17.008,0.096,true
1,39,961900,AL,-86.463013,31.284153,2192,16.006,0.187,true
1,39,962000,AL,-86.470492,31.325643,3911,19.27,0.225,true
1,39,962100,AL,-86.499558,31.31569,1798,5.957,0.063,true
1,39,962300,AL,-86.381427,31.29282,3315,107.684,1.039,true
1,39,962400,AL,-86.240699,31.311781,3440,59.722,0.95,true
1,39,962500,AL,-86.264674,31.288665,1550,4.836,0.039,true
1,39,962600,AL,-86.272909,31.273113,1373,4.602,0.067,true
1,39,962700,AL,-86.245195,31.268964,1690,5.037,0.052,true
1,39,962800,AL,-86.279368,31.222511,1693,96.45,0.712,true
1,39,962900,AL,-86.553678,31.158604,1830,204.821,2.601,true
1,39,963000,AL,-86.337593,31.020423,3448,155.666,1.482,true
1,41,963400,AL,-86.2644,31.898131,1850,92.245,0.546,true
1,41,963500,AL,-86.370867,31.949599,1962,87.412,0.082,true
1,41,963600,AL,-86.342726,31.742493,2829,144.478,0.292,true
1,41,963700,AL,-86.243791,31.718028,3621,99.491,0.346,true
1,41,963800,AL,-86.332997,31.560288,1561,105.672,0.408,true
1,41,963900,AL,-86.23866,31.554658,1371,79.567,0.406,true
1,43,964100,AL,-86.565148,34.269728,5974,56.793,0.483,true
1,43,964201,AL,-86.719252,34.216313,3663,28.394,0.225,true
1,43,964202,AL,-86.743249,34.258241,4140,31.154,0.273,true
1,43,964300,AL,-86.841113,34.265733,5372,34.689,0.48,true
1,43,964400,AL,-86.936371,34.263169,4562,29.6,0.145,true
1,43,964500,AL,-87.046487,34.222509,4629,83.365,0.744,true
1,43,964600,AL,-86.963662,34.161767,4046,51.284,0.324,true
1,43,964700,AL,-86.888156,34.146025,5369,27.353,0.195,true
1,43,964800,AL,-86.859818,34.183611,4638,3.627,0.07,true
1,43,964901,AL,-86.831699,34.178766,3371,5.847,0.121,true
1,43,964902,AL,-86.832479,34.20769,4064,12.511,0.889,true
1,43,965001,AL,-86.822833,34.156974,2652,4.219,0.034,true
1,43,965002,AL,-86.848338,34.160247,4751,4.815,0.041,true
1,43,965100,AL,-86.802385,34.118631,4255,20.954,0.26,true
1,43,965200,AL,-86.736394,34.141235,2395,21.509,0.384,true
1,43,965300,AL,-86.635495,34.166551,4944,54.105,0.479,true
1,43,965401,AL,-86.792815,34.066326,3171,24.467,0.068,true
1,43,965402,AL,-86.761711,34.03809,4556,48.474,0.43,true
1,43,965501,AL,-86.9012,33.978465,1484,37.265,0.217,true
1,43,965502,AL,-86.938016,34.045955,4423,35.087,3.481,true
1,43,965600,AL,-87.045915,34.061076,2455,43.839,8.117,true
1,43,965700,AL,-87.025238,33.957547,2952,75.386,2.824,true
1,45,20000,AL,-85.719588,31.347142,4474,66.596,1.082,true
1,45,20100,AL,-85.656864,31.557166,3911,140.78,0.034,true
1,45,20200,AL,-85.470094,31.477534,2186,95.44,0.12,true
1,45,20300,AL,-85.573261,31.419657,2375,42.903,0.06,true
1,45,20400,AL,-85.642421,31.482502,2423,23.894,0.16,true
1,45,20500,AL,-85.628048,31.456891,1934,4.324,0.0,true
1,45,20700,AL,-85.643178,31.449825,3358,4.657,0.006,true
1,45,20801,AL,-85.670329,31.396282,3163,7.437,0.0,true
1,45,20802,AL,-85.648466,31.426625,4328,13.947,0.063,true
1,45,21101,AL,-85.773276,31.320289,4770,13.129,0.0,true
1,45,21102,AL,-85.706009,31.306087,4153,8.861,0.0,true
1,45,21200,AL,-85.730502,31.260637,2391,38.852,0.0,true
1,45,21300,AL,-85.563763,31.300721,4231,57.233,0.02,true
1,45,21400,AL,-85.473857,31.320449,5629,43.061,0.021,true
1,47,956101,AL,-86.954744,32.449653,3889,81.496,2.323,true
1,47,956102,AL,-86.975443,32.539772,2639,41.343,0.209,true
1,47,956201,AL,-87.111269,32.410275,2103,48.421,1.414,true
1,47,956202,AL,-87.058639,32.501003,2251,70.362,0.406,true
1,47,956300,AL,-87.034227,32.438889,3616,6.779,0.035,true
1,47,956400,AL,-87.017511,32.426979,2645,1.574,0.001,true
