STFIP,COFIP,NAME,ST,LON,LAT,POP,ALAND,AWATER,CBSA
1,1,Autauga,AL,-86.487813,32.500194,58805,594.456,9.913,33860
1,3,Baldwin,AL,-87.761478,30.537396,231767,1589.836,437.437,19300
1,5,Barbour,AL,-85.301306,31.843981,25223,885.008,19.507,21640
1,7,Bibb,AL,-87.136826,33.032236,22293,622.47,3.696,13820
1,9,Blount,AL,-86.592667,33.954604,59134,644.891,5.738,13820
1,15,Calhoun,AL,-85.817974,33.727215,116441,605.889,6.385,11500
1,17,Chambers,AL,-85.25964,32.85644,34772,596.561,6.553,29300
1,21,Chilton,AL,-86.688861,32.879146,45014,692.837,7.951,13820
1,31,Coffee,AL,-85.899556,31.353217,53465,678.986,1.509,21460
1,33,Colbert,AL,-87.681892,34.724339,57227,592.953,30.564,22520
1,37,Coosa,AL,-86.156212,32.976884,10387,650.909,15.441,45180
1,43,Cullman,AL,-86.83269,34.162652,87866,734.738,20.283,18980
1,45,Dale,AL,-85.63771,31.383858,49326,561.113,1.564,37120
1,47,Dallas,AL,-87.035342,32.411818,38462,978.738,15.106,42820
1,49,DeKalb,AL,-85.817465,34.452725,71608,777.077,1.586,22840
1,51,Elmore,AL,-86.225332,32.558527,87977,618.515,38.526,33860
1,55,Etowah,AL,-86.025892,34.012182,103436,535.105,13.522,23460
1,59,Franklin,AL,-87.793592,34.463509,32113,633.92,12.602,40770
1,61,Geneva,AL,-85.781426,31.094511,26659,574.485,4.466,20020
1,63,Greene,AL,-87.924522,32.833838,7730,647.023,12.902,46220
1,65,Hale,AL,-87.627964,32.783251,14785,643.99,12.511,46220
1,67,Henry,AL,-85.271132,31.469275,17146,561.763,6.546,20020
1,69,Houston,AL,-85.39632,31.204793,107202,579.826,1.852,20020
1,71,Jackson,AL,-85.943552,34.727289,52579,1078.015,48.778,42460
1,73,Jefferson,AL,-86.811606,33.517206,674721,1111.531,12.619,13820
1,77,Lauderdale,AL,-87.608858,34.865524,93564,668.014,51.586,22520
1,79,Lawrence,AL,-87.27158,34.540863,33073,690.684,26.518,19460
1,81,Lee,AL,-85.359778,32.592265,174241,607.543,8.307,12220
1,83,Limestone,AL,-86.922366,34.803982,103570,559.963,47.224,26620
1,85,Lowndes,AL,-86.615186,32.164241,10311,716.085,8.985,33860
1,87,Macon,AL,-85.711764,32.429073,19532,608.665,4.543,12220
1,89,Madison,AL,-86.61533,34.742996,388153,801.601,11.114,26620
1,95,Marshall,AL,-86.291329,34.311249,97612,565.845,57.334,10700
1,97,Mobile,AL,-88.175178,30.684049,414809,1229.374,414.678,33660
1,101,Montgomery,AL,-86.233787,32.346473,228954,785.35,14.563,33860
1,103,Morgan,AL,-86.931981,34.513887,123421,579.67,19.381,19460
1,107,Pickens,AL,-88.074381,33.284667,19123,881.408,8.734,46220
1,109,Pike,AL,-85.946994,31.786041,33009,672.067,0.903,45980
1,113,Russell,AL,-85.054594,32.414904,59183,641.182,6.009,17980
1,115,St. Clair,AL,-86.374875,33.660943,91103,631.57,21.788,13820
1,117,Shelby,AL,-86.73899,33.290336,223024,785.44,24.05,13820
1,121,Talladega,AL,-86.165876,33.376936,82149,736.817,23.504,45180
1,123,Tallapoosa,AL,-85.864016,32.851728,41311,716.528,49.726,10760
1,125,Tuscaloosa,AL,-87.518474,33.214817,227036,1320.848,30.387,46220
1,127,Walker,AL,-87.250515,33.834217,65342,791.03,14.163,13820
2,20,Anchorage,AK,-149.792287,61.191547,291247,1706.8,239.886,11260
2,90,Fairbanks North Star,AK,-147.623249,64.831239,95655,7334.809,100.133,21820
2,110,Juneau,AK,-134.533023,58.360173,32255,2704.031,550.671,27940
2,130,Ketchikan Gateway,AK,-131.678418,55.369105,13948,4856.927,1795.997,28540
2,170,Matanuska-Susitna,AK,-149.432649,61.607247,107081,24706.967,558.548,11260
4,3,Cochise,AZ,-110.072835,31.603486,125447,6209.75,6.82,43420
4,5,Coconino,AZ,-111.601825,35.476113,145101,18616.355,45.032,22380
4,7,Gila,AZ,-111.015003,33.844439,53272,4757.33,37.494,37740
4,9,Graham,AZ,-109.808107,32.867145,38533,4621.877,18.331,40940
4,13,Maricopa,AZ,-112.044016,33.490147,4420568,9201.792,24.21,38060
4,15,Mohave,AZ,-114.262415,35.034511,213267,13332.118,128.727,29420
4,17,Navajo,AZ,-110.205157,34.862151,106717,9949.491,9.315,43320
4,19,Pima,AZ,-110.95803,32.216427,1043433,9188.69,1.974,46060
4,21,Pinal,AZ,-111.602135,33.069323,425264,5366.047,8.627,38060
4,23,Santa Cruz,AZ,-110.945948,31.439234,47669,1236.242,1.185,35700
4,25,Yavapai,AZ,-112.273841,34.628734,236209,8122.872,4.445,39150
4,27,Yuma,AZ,-114.605444,32.641391,203881,5513.838,5.117,49740
5,5,Baxter,AR,-92.383935,36.331791,41627,553.926,32.783,34260
5,7,Benton,AR,-94.230342,36.335056,284333,847.721,36.608,22220
5,9,Boone,AR,-93.098769,36.266608,37373,589.723,12.277,25460
5,13,Calhoun,AR,-92.500683,33.585989,4739,628.601,3.817,15780
5,19,Clark,AR,-93.123962,34.099325,21446,865.971,16.975,11660
5,25,Cleveland,AR,-92.136375,33.912967,7550,597.914,0.989,38220
5,27,Columbia,AR,-93.247178,33.258766,22801,766.065,0.767,31620
5,31,Craighead,AR,-90.669235,35.835762,111231,707.158,5.533,27860
5,33,Crawford,AR,-94.285922,35.494096,60133,595.269,10.625,22900
5,35,Crittenden,AR,-90.213521,35.176704,48163,612.865,31.54,32820
5,45,Faulkner,AR,-92.406071,35.105697,123498,647.246,16.841,30780
5,51,Garland,AR,-93.080729,34.505767,100180,677.643,56.897,26300
5,53,Grant,AR,-92.412583,34.311672,17958,631.885,1.118,30780
5,55,Greene,AR,-90.522562,36.071536,45736,577.34,2.036,37500
5,59,Hot Spring,AR,-92.895511,34.353569,33040,614.944,7.23,31680
5,63,Independence,AR,-91.607338,35.750729,37938,763.712,7.819,12900
5,69,Jefferson,AR,-92.045118,34.234814,67260,872.367,43.657,38220
5,81,Little River,AR,-94.198663,33.700349,12026,531.255,32.091,45500
