CSA,NAME,LON,LAT,POP,ALAND,AWATER,ISCUS
101,"Abilene-Sweetwater, TX",-99.79812810863721,32.4452915988804,191317,3655.5099999999998,16.142,true
104,"Albany-Schenectady, NY",-73.83022960837981,42.84111623170466,1190727,6043.361,203.79399999999998,true
105,"Albuquerque-Santa Fe-Los Alamos, NM",-106.4854490905755,35.24460956481291,1162523,23811.537,70.887,true
106,"Allentown-Bethlehem-East Stroudsburg, PA-NJ",-75.37892001712774,40.7388115434006,1030216,2061.342,31.219,true
107,"Altoona-Huntingdon, PA",-78.27781593040697,40.47168864030579,166914,1399.9279999999999,15.887,true
108,"Amarillo-Borger, TX",-101.8274602529917,35.20746898808535,289308,6038.402000000001,40.328,true
118,"Appleton-Oshkosh-Neenah, WI",-88.44171324825797,44.20319441536649,414877,1390.504,229.752,true
120,"Asheville-Waynesville-Brevard, NC",-82.59775461767154,35.50671363287524,502001,2410.979,10.366,true
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",-84.3149482142697,33.85261527414479,6976171,13330.204999999996,255.54399999999993,true
132,"Baton Rouge-Hammond, LA",-90.97293397766086,30.45452746956939,1003726,5161.866,254.85600000000002,true
142,"Birmingham-Cullman-Talladega, AL",-86.74056250184995,33.5239075035396,1361033,7402.232999999999,149.233,true
144,"Bloomington-Bedford, IN",-86.55600784840831,39.10934235372967,206050,1228.963,22.119000000000003,true
145,"Bloomington-Pontiac, IL",-88.88873006035114,40.56447685023384,206769,2226.876,5.32,true
146,"Bloomsburg-Berwick-Sunbury, PA",-76.69804415816374,40.92693702783669,256927,1715.8529999999998,33.385,true
147,"Boise City-Mountain Home-Ontario, ID-OR",-116.42834097860369,43.626846610920786,850341,25136.275999999998,137.917,true
148,"Boston-Worcester-Providence, MA-RI-NH",-71.23525234755594,42.30976438205134,8349768,9189.269999999999,2760.1240000000007,true
150,"Bowling Green-Glasgow-Franklin, KY",-86.31072005576162,36.960213751436974,254004,2626.466,40.096,true
152,"Brookings-Crescent City, OR-CA",-124.23893250929373,42.00199952335462,51189,2634.61,584.311,true
154,"Brownsville-Harlingen-Raymondville, TX",-97.57104693318367,26.06592644236719,441181,1482.312,578.884,true
