STFIP,PLFIP,NAME,ST,LAT,LON,POP,ALAND,AWATER,LSAD,FUNCSTAT,CBSA,ISCUS
1,988,Albertville,AL,34.26313,-86.21066,22386,26.939,0.1,25,A,10700,true
1,1132,Alexander City,AL,32.92724,-85.937122,14843,43.701,0.29,25,A,10760,true
1,1852,Anniston,AL,33.673469,-85.810891,21564,45.825,0.07,25,A,11500,true
1,3076,Auburn,AL,32.607722,-85.489545,76143,60.651,1.028,25,A,12220,true
1,7000,Birmingham,AL,33.527174,-86.797036,200733,147.028,2.522,25,A,13820,true
1,18976,Cullman,AL,34.17687,-86.840656,18213,21.626,1.331,25,A,18980,true
1,19648,Daphne,AL,30.627702,-87.883992,27462,19.001,0.118,25,A,19300,true
1,20104,Decatur,AL,34.572995,-86.989901,57938,54.358,6.502,25,A,19460,true
1,21184,Dothan,AL,31.233698,-85.406823,71072,89.827,0.326,25,A,20020,true
1,24184,Enterprise,AL,31.326898,-85.844021,28711,30.958,0.067,25,A,21460,true
1,24568,Eufaula,AL,31.909937,-85.152709,12882,59.515,13.96,25,A,21640,true
1,25240,Fairhope,AL,30.52092,-87.879122,22477,14.475,0.056,25,A,19300,true
1,26896,Florence,AL,34.830323,-87.666139,40184,26.518,0.211,25,A,22520,true
1,26992,Foley,AL,30.397009,-87.664211,20335,32.495,0.145,25,A,19300,true
1,27616,Fort Payne,AL,34.457329,-85.689447,14877,56.406,0.354,25,A,22840,true
1,28696,Gadsden,AL,34.006597,-86.016078,33945,37.43,1.23,25,A,23460,true
1,32272,Gulf Shores,AL,30.275837,-87.701258,15014,28.357,4.845,25,A,19300,true
1,37000,Huntsville,AL,34.782275,-86.532599,215006,218.119,1.442,25,A,26620,true
1,50000,Mobile,AL,30.668426,-88.100226,187041,139.482,40.593,25,A,33660,true
1,51000,Montgomery,AL,32.348503,-86.267307,200603,159.857,2.413,25,A,33860,true
1,53016,Muscle Shoals,AL,34.74317,-87.633761,16275,16.803,0.021,25,A,22520,true
1,57048,Opelika,AL,32.66139,-85.376325,30995,59.067,1.009,25,A,12220,true
1,57576,Oxford,AL,33.597366,-85.868132,22069,31.819,0.364,25,A,11500,true
1,57648,Ozark,AL,31.451615,-85.645035,14368,34.104,0.235,25,A,37120,true
1,67056,Russellville,AL,34.505719,-87.728123,10855,13.41,0.106,25,A,40770,true
1,68736,Scottsboro,AL,34.64462,-86.048155,15578,50.646,6.756,25,A,42460,true
1,69120,Selma,AL,32.416983,-87.035702,17971,13.809,0.594,25,A,42820,true
1,74352,Sylacauga,AL,33.18867,-86.274799,12578,20.254,0.162,25,A,45180,true
1,74592,Talladega,AL,33.431757,-86.099454,15861,26.052,0.081,25,A,45180,true
1,76920,Troy,AL,31.80196,-85.96713,17727,28.341,0.079,25,A,45980,true
1,77256,Tuscaloosa,AL,33.234404,-87.5283,99600,61.897,10.074,25,A,46220,true
2,3000,Anchorage municipality,AK,61.17425,-149.284329,291247,1706.8,239.886,37,A,11260,false
2,16750,College CDP,AK,64.86729,-147.819453,11332,18.712,0.412,57,S,21820,false
2,24230,Fairbanks,AK,64.836531,-147.651745,32515,31.746,0.878,25,A,21820,false
2,36400,Juneau and borough,AK,58.37291,-134.178445,32255,2704.031,550.671,53,A,27940,false
2,38970,Ketchikan,AK,55.357145,-131.674552,8192,3.814,1.088,25,A,28540,false
4,10530,Casa Grande,AZ,32.90686,-111.76234,53658,110.869,0.0,25,A,38060,true
4,12000,Chandler,AZ,33.282765,-111.851819,275987,65.301,0.07,25,A,38060,true
4,20050,Douglas,AZ,31.399274,-109.541292,16534,9.979,0.001,25,A,43420,true
4,23620,Flagstaff,AZ,35.185212,-111.620698,76831,66.034,0.052,25,A,22380,true
4,27400,Gilbert,AZ,33.310225,-111.743224,267918,68.569,0.203,43,A,38060,true
4,37620,Kingman,AZ,35.216992,-114.010529,32689,37.547,0.0,25,A,29420,true
4,39370,Lake Havasu City,AZ,34.499809,-114.310943,57144,46.339,0.046,25,A,29420,true
4,46000,Mesa,AZ,33.400626,-111.716487,504258,138.704,0.704,25,A,38060,true
4,49640,Nogales,AZ,31.361928,-110.93482,19770,20.82,0.014,25,A,35700,true
4,53700,Payson,AZ,34.243841,-111.318964,16351,19.348,0.007,43,A,37740,true
4,55000,Phoenix,AZ,33.572154,-112.090132,1608139,517.995,1.129,25,A,38060,true
4,57380,Prescott,AZ,34.585842,-112.446241,45827,44.969,0.239,25,A,39150,true
4,57450,Prescott Valley,AZ,34.597921,-112.318532,46785,40.465,0.0,43,A,39150,true
4,62000,Safford,AZ,32.833273,-109.696044,10129,9.267,0.029,25,A,40940,true
4,65000,Scottsdale,AZ,33.684272,-111.861448,241361,184.003,0.439,25,A,38060,true
4,66470,Show Low,AZ,34.265053,-110.038321,11732,65.499,0.474,25,A,43320,true
4,66820,Sierra Vista,AZ,31.56541,-110.314508,45308,152.25,0.262,25,A,43420,true
4,73000,Tempe,AZ,33.388414,-111.931782,180587,39.942,0.216,25,A,38060,true
