ZCTA5,LON,LAT,POP,ALAND,AWATER,ISCUS
901,-66.107982,18.466594,6218,1.015,1.61,false
906,-66.094995,18.46446,165,0.003,0.0,false
907,-66.087625,18.452271,16864,2.043,2.005,false
909,-66.068766,18.441246,6987,0.653,0.045,false
911,-66.056338,18.453656,7496,0.476,0.264,false
912,-66.059942,18.445067,5786,0.371,0.0,false
913,-66.04459,18.464629,7261,0.324,0.833,false
915,-66.045571,18.437179,25075,1.403,0.315,false
917,-66.050105,18.420674,17319,1.365,0.018,false
918,-66.069081,18.422249,17439,2.698,0.058,false
920,-66.09214,18.422439,14798,3.61,0.947,false
921,-66.087109,18.392088,32062,3.069,0.0,false
923,-66.037358,18.410804,23607,2.01,0.362,false
924,-66.01258,18.399186,49654,4.659,0.37,false
925,-66.05059,18.400271,5501,0.446,0.0,false
926,-66.053929,18.348601,96732,23.213,0.084,false
927,-66.070033,18.388202,14297,2.423,0.002,false
934,-66.119829,18.413,218,1.419,0.01,false
949,-66.227441,18.409879,67453,20.58,3.304,false
950,-66.237929,18.467225,6,2.664,0.768,false
951,-66.259772,18.42805,430,1.071,0.034,false
952,-66.188931,18.428724,8671,2.217,0.0,false
953,-66.251527,18.360729,66369,26.688,0.468,false
956,-66.170419,18.321137,72353,27.421,0.068,false
957,-66.188962,18.366147,40540,4.341,0.001,false
959,-66.155654,18.385785,43625,6.093,0.032,false
960,-66.142693,18.416918,2891,1.402,0.011,false
961,-66.163361,18.409907,28062,5.398,0.001,false
962,-66.1355,18.439988,19741,4.816,1.07,false
965,-66.110917,18.430508,6168,0.905,0.127,false
966,-66.113935,18.397875,16977,2.52,0.0,false
968,-66.101232,18.406063,3722,0.456,0.0,false
969,-66.110047,18.366226,38838,5.038,0.021,false
971,-66.11919,18.318884,28517,16.026,0.031,false
976,-65.994101,18.33618,59879,17.435,0.313,false
979,-65.999169,18.438359,14929,3.889,2.772,false
982,-65.991273,18.408744,14182,1.447,0.007,false
983,-65.981317,18.41722,31889,4.321,0.385,false
985,-65.947927,18.410774,31250,9.235,0.308,false
987,-65.943754,18.343988,58427,25.931,0.223,false
1001,-72.625754,42.062368,16984,11.292,0.821,true
1002,-72.464795,42.377212,27558,53.256,1.653,true
1003,-72.523584,42.391883,13253,0.804,0.005,true
1005,-72.112077,42.418884,4900,43.189,0.257,true
1007,-72.400409,42.283935,15423,54.869,2.679,true
1008,-72.964076,42.192024,1317,61.187,2.166,true
1009,-72.341809,42.211386,980,0.697,0.0,true
1010,-72.205352,42.128176,3711,35.227,0.549,true
1011,-72.966516,42.290128,1201,32.795,0.132,true
1012,-72.858192,42.375425,519,12.067,0.144,true
1013,-72.595496,42.142009,23656,5.66,0.584,true
1020,-72.56192,42.172611,29781,12.461,0.382,true
1022,-72.541872,42.197187,2158,4.814,0.001,true
1026,-72.925707,42.470032,1011,28.052,0.204,true
1027,-72.751877,42.295008,17896,40.587,0.466,true
1028,-72.498111,42.062378,16417,12.921,0.07,true
1029,-73.035292,42.176271,714,9.97,1.968,true
1030,-72.686972,42.072925,11708,12.029,0.191,true
1031,-72.191968,42.327809,1406,6.733,0.0,true
1032,-72.81478,42.457613,483,9.649,0.276,true
1033,-72.500143,42.244949,6092,27.809,0.258,true
1034,-72.961103,42.093912,1977,67.747,1.843,true
1035,-72.568632,42.356491,5325,23.089,1.524,true
1036,-72.417718,42.071188,4966,19.611,0.03,true
1037,-72.197364,42.376036,706,18.576,0.168,true
1038,-72.604045,42.379925,2522,9.223,0.864,true
1039,-72.690951,42.411304,1511,16.491,0.235,true
1040,-72.642448,42.211658,38238,21.169,1.632,true
1050,-72.874803,42.291259,2467,41.369,0.997,true
1053,-72.713584,42.356301,2031,5.751,0.088,true
1054,-72.484579,42.468898,1889,22.931,0.164,true
1056,-72.457812,42.183577,21002,27.196,1.142,true
1057,-72.321494,42.093596,8152,44.543,0.549,true
1060,-72.630395,42.321251,14461,10.867,1.254,true
1062,-72.701789,42.323033,10910,17.452,0.161,true
1063,-72.639539,42.319584,2106,0.088,0.0,true
1066,-72.623639,42.413039,215,1.262,0.005,true
1068,-72.060685,42.353887,1904,21.72,0.399,true
1069,-72.30648,42.188862,8428,28.058,0.323,true
1070,-72.925354,42.519909,577,19.84,0.23,true
1071,-72.87384,42.160064,1486,15.698,0.252,true
1072,-72.417244,42.456968,1366,19.093,0.252,true
1073,-72.741588,42.226949,6224,28.149,0.804,true
1074,-72.103895,42.380823,584,0.259,0.02,true
1075,-72.580248,42.256532,18168,17.722,0.72,true
1077,-72.777353,42.05257,9237,30.853,0.831,true
1079,-72.33246,42.185745,701,1.607,0.019,true
1080,-72.361558,42.185727,2400,1.665,0.099,true
1081,-72.234411,42.061313,1684,14.473,0.227,true
1082,-72.279164,42.299749,10565,47.008,7.628,true
1083,-72.198619,42.20684,2549,12.757,0.06,true
1084,-72.874987,42.361724,185,8.331,0.151,true
1085,-72.771602,42.153503,41529,59.727,1.135,true
1088,-72.640361,42.3827,598,5.254,0.055,true
1089,-72.649734,42.125451,28835,16.73,0.807,true
1092,-72.235108,42.191868,1343,6.721,0.031,true
1093,-72.645058,42.445258,290,4.314,0.006,true
1094,-72.139283,42.369762,60,0.72,0.067,true
1095,-72.420703,42.138527,14694,22.489,0.29,true
1096,-72.76577,42.410538,2509,35.883,0.325,true
1097,-72.830985,42.165868,130,1.74,0.161,true
1098,-72.943392,42.397559,1147,31.886,0.138,true
